TITLE
BLUES
CLASSIC ROCK
COUNTRY
DANCE
DISCO
FUNK
GRUNGE
HIP-HOP
JAZZ
METAL
NEW AGE
OLDIES
OTHER
POP
R&B
RAP
REGGAE
ROCK
TECHNO
INDUSTRIAL
ALTERNATIVE
SKA
DEATH METAL
PRANKS
SOUNDTRACK
EURO-TECHNO
AMBIENT
TRIP-HOP
VOCAL
JAZZ & FUNK
FUSION
TRANCE
CLASSICAL
INSTRUMENTAL
ACID
HOUSE
GAME
SOUND CLIP
GOSPEL
NOISE
ALTERNATIVE ROCK
BASS
SOUL
PUNK
SPACE
MEDITATIVE
INSTRUMENTAL POP
INSTRUMENTAL ROCK
ETHNIC
GOTHIC
DARKWAVE
TECHNO-INDUSTRIAL
ELECTRONIC
POP-FOLK
EURODANCE
DREAM
SOUTHERN ROCK
COMEDY
CULT
GANGSTA
TOP 40
CHRISTIAN RAP
POP/FUNK
JUNGLE
NATIVE US
CABARET
NEW WAVE
PSYCHADELIC
RAVE
SHOWTUNES
TRAILER
LO-FI
TRIBAL
ACID PUNK
ACID JAZZ
POLKA
RETRO
MUSICAL
ROCK 'N' ROLL
HARD ROCK
FOLK
FOLK-ROCK
NATIONAL FOLK
SWING
FAST FUSION
BEBOP
LATIN
REVIVAL
CELTIC
BLUEGRASS
AVANTGARDE
GOTHIC ROCK
PROGRESSIVE ROCK
PSYCHEDELIC ROCK
SYMPHONIC ROCK
SLOW ROCK
BIG BAND
CHORUS
EASY LISTENING
ACOUSTIC
HUMOUR
SPEECH
CHANSON
OPERA
CHAMBER MUSIC
SONATA
SYMPHONY
BOOTY BASS
PRIMUS
PORN GROOVE
SATIRE
SLOW JAM
CLUB
TANGO
SAMBA
FOLKLORE
BALLAD
POWER BALLAD
RHYTHMIC SOUL
FREESTYLE
DUET
PUNK ROCK
DRUM SOLO
A CAPELLA
EURO-HOUSE
DANCE HALL
GOA
DRUM & BASS
CLUB-HOUSE
HARDCORE TECHNO
TERROR
INDIE
BRITPOP
NEGERPUNK
POLSK PUNK
BEAT
CHRISTIAN GANGSTA RAP
HEAVY METAL
BLACK METAL
CROSSOVER
CONTEMPORARY CHRISTIAN
CHRISTIAN ROCK
MERENGUE
SALSA
THRASH METAL
ANIME
JPOP
SYNTHPOP
ABSTRACT
ART ROCK
BAROQUE
BHANGRA
BIG BEAT
BREAKBEAT
CHILLOUT
DOWNTEMPO
DUB
EBM
ECLECTIC
ELECTRO
ELECTROCLASH
EMO
EXPERIMENTAL
GARAGE
GLOBAL
IDM
ILLBIENT
INDUSTRO-GOTH
JAM BAND
KRAUTROCK
LEFTFIELD
LOUNGE
MATH ROCK
NEW ROMANTIC
NU-BREAKZ
POST-PUNK
POST-ROCK
PSYTRANCE
SHOEGAZE
SPACE ROCK
TROP ROCK
WORLD MUSIC
NEOCLASSICAL
AUDIOBOOK
AUDIO THEATRE
NEUE DEUTSCHE WELLE
PODCAST
INDIE ROCK
G-FUNK
DUBSTEP
GARAGE ROCK
PSYBIENT
